id,retweet_count,favorite_count
816091915477250048,2063,8731
816062466425819140,985,0
816014286006976512,5068,0
815990720817401858,985,4824
815966073409433600,8166,21841
815745968457060357,4004,0
815736392542261248,2197,9622
815639385530101762,1597,8045
815390420867969024,3692,10129
814986499976527872,1230,7481
814638523311648768,2618,11035
814578408554463233,5654,0
814530161257443328,1805,8450
814153002265309185,8393,28101
813944609378369540,3087,0
813910438903693312,1800,9114
813812741911748608,13533,35685
813800681631023104,1707,8139
813217897535406080,7082,18214
813202720496779264,1766,9048
813187593374461952,4207,19417
813172488309972993,1870,9073
813157409116065792,2133,7596
813142292504645637,2321,8327
813130366689148928,431,4400
813127251579564032,3018,11556
813112105746448384,2658,10100
813096984823349248,3515,10348
813081950185472002,2703,9696
813066809284972545,1895,7773
813051746834595840,7128,20507
812781120811126785,1848,7380
812709060537683968,1400,6483
812503143955202048,1187,5932
812466873996607488,1863,7805
812372279581671427,3551,13361
811985624773361665,1362,7116
811744202451197953,1543,7392
811647686436880384,715,5487
811627233043480576,2969,12463
811386762094317568,6192,20493
810984652412424192,1384,5203
810896069567610880,1705,8821
810657578271330305,2550,10736
810284430598270976,10905,34443
810254108431155201,3276,14405
809920764300447744,3823,15253
809808892968534016,4750,0
809448704142938112,1422,6810
809220051211603969,5435,19502
809084759137812480,3425,12954
808838249661788160,2959,9925
808733504066486276,2101,7739
808501579447930884,2532,11078
808344865868283904,20219,41577
808134635716833280,5746,0
808106460588765185,2146,8645
808001312164028416,3443,12290
807621403335917568,3513,14299
807106840509214720,53746,115526
807059379405148160,7129,0
807010152071229440,3766,12873
806629075125202948,33618,72996
806620845233815552,5364,0
806576416489959424,1903,4794
806542213899489280,2294,10027
806242860592926720,11294,0
806219024703037440,1166,6340
805958939288408065,5209,0
805932879469572096,1876,8144
805826884734976000,1775,6450
805823200554876929,7786,0
805520635690676224,1616,5641
805487436403003392,2467,8642
805207613751304193,1678,7702
804738756058218496,3724,13422
804475857670639616,1962,6024
804413760345620481,3142,0
804026241225523202,15647,43521
803773340896923648,2668,9872
803692223237865472,7223,0
803638050916102144,4039,10731
803380650405482500,1830,7623
803321560782307329,5168,0
803276597545603072,2390,9842
802952499103731712,1944,8858
802624713319034886,2825,0
802600418706604034,1421,6981
802572683846291456,2448,8793
802323869084381190,5695,15880
802265048156610565,1343,6813
802239329049477120,2552,8925
802185808107208704,268,0
801958328846974976,1664,7618
801854953262350336,233,1768
801538201127157760,2018,8072
801285448605831168,801,5928
801167903437357056,5746,23958
801127390143516673,3852,0
801115127852503040,2043,7924
800859414831898624,96,673
800855607700029440,1565,0
800751577355128832,2721,10388
800513324630806528,2920,12911
800459316964663297,2123,9328
800443802682937345,4183,0
800388270626521089,2734,10955
800188575492947969,3834,0
800141422401830912,2474,14977
800018252395122689,12775,27767
799774291445383169,4529,0
799757965289017345,2094,8229
799422933579902976,1878,7926
799308762079035393,5305,0
799297110730567681,2677,9692
799063482566066176,2418,7936
798933969379225600,4343,12824
798925684722855936,1408,7374
798705661114773508,6467,0
798701998996647937,7544,0
798697898615730177,6347,0
798694562394996736,4835,0
798686750113755136,2264,0
798682547630837760,4618,0
798673117451325440,5420,0
798665375516884993,3809,0
798644042770751489,1804,0
798628517273620480,1926,0
798585098161549313,5507,0
798576900688019456,5693,0
798340744599797760,3246,0
798209839306514432,2495,10224
797971864723324932,3023,11352
797545162159308800,4750,14300
797236660651966464,6398,19547
797165961484890113,26,222
796904159865868288,8694,0
796865951799083009,1884,7537
796759840936919040,2955,11574
796563435802726400,7024,0
796484825502875648,1710,7423
796387464403357696,4043,10791
796177847564038144,13893,0
796149749086875649,13893,31599
796125600683540480,1754,4881
796116448414461957,2341,8913
796080075804475393,2245,8285
796031486298386433,3631,10601
795464331001561088,22895,48472
795400264262053889,2783,9839
795076730285391872,5303,15876
794983741416415232,3279,0
794926597468000259,2254,10028
794355576146903043,10013,0
794332329137291264,2611,9429
794205286408003585,3237,9066
793962221541933056,4750,16487
793845145112371200,1809,9055
793614319594401792,3044,0
793601777308463104,1571,7835
793500921481273345,2312,10470
793286476301799424,8921,24098
793271401113350145,2338,8542
793256262322548741,8120,19594
793241302385262592,3208,10317
793226087023144960,2804,9610
793210959003287553,2718,8746
793195938047070209,5477,14957
793180763617361921,1942,6807
793165685325201412,2710,9208
793150605191548928,1656,6055
793135492858580992,2441,6276
793120401413079041,3804,12403
792913359805018113,3864,14020
792883833364439040,4150,11074
792773781206999040,1640,7215
792394556390137856,4181,13139
792050063153438720,1737,6993
791821351946420224,20528,0
791784077045166082,9275,0
791780927877898241,3714,0
791774931465953280,21565,44154
791672322847637504,3044,11524
791406955684368384,4004,12893
791312159183634433,2462,8590
791026214425268224,3974,0
790987426131050500,2074,9614
790946055508652032,4548,16348
790723298204217344,2245,0
790698755171364864,1870,8050
790581949425475584,6910,20233
790337589677002753,1841,7673
790277117346975746,3087,12312
790227638568808452,3450,0
789986466051088384,2245,9078
789960241177853952,3989,0
789903600034189313,4024,10132
789628658055020548,1716,7330
789599242079838210,1871,6604
789530877013393408,3279,11487
789314372632018944,2226,8454
789280767834746880,4781,0
789268448748703744,2545,8931
789137962068021249,2704,9516
788908386943430656,12131,26882
